track_id,query
02138lFv3Bzncr6ScNbLAF,Rattle Your Cage: Admission of Fault and Desire
023OVLNzXhX0j7CxswUt6D,"Kid Ink - ""I Found Myself a Cheerleader"
027h5P3kCyktHv9dpHUBBS,My Friend's Girlfriend and Boyfriend Drama
027VSEVC8RRjUXLEJAzhH6,"Dark Side of the Moon - Wolf Howling at the Moon, Lightning in the Little Spoon"
02803el8p3mKqcJzJ3Agpp,Droppin' Out the Land Where the Map is Your Hand
028JxheELfIvvY4zBXuMjw,"Mustard on the Beat: Youngin's Heartless, Insta-Addict Cousin, Deebo's Trouble, and"
029QP3fFtLaW9B9RKr8DAg,Want You to Say My Name
02AT1Z0nscuElXMWBEzEKu,Paint My Love - A Thousand Sunsets and Doves
02BDSCfu9jBYvJ8LkUVttD,Navigating the Streets: A Hi Life Chronicle
02bTIMbUm8Zgt0cVAiexE4,Step into the Open Wide - Watch the Future Come Alive (This Is Our Time)
02CygBCQOIyEuhNZqHHcNx,The Melodic Journey Through Rhythmic Clarity
02DoXNeIVYvONhTk1fGQrz,"Nothing Really Matters: When She's Ok, Then I'm Alright"
02DurCgOvDdX0uKEjqcl3W,Soho Doorway Awakening: The Quest for Identity
02eF5vF3ASltFpWHDVWkdQ,I Want You to Want Me Need You to Need Me I'd Love You to Love Me
02gIQlGYI0KVK87Uo9Ekjj,Hearing Through the Grapevine: The Unraveling of Love
02gV5Zc9ctbZxD1uTNIok5,Can't Forget This Evening - Your Face and Sorrow
02GwPAncasVL82yC7y2hmN,North Carolina's Helicopter Shirt Raise
02H05NlKnwFQREf0qu89AL,"Dock the Yacht, Bulletproof Hummer, and the Unseen Danger"
02jcEwywffn3Tsb48fXmlW,Get This Party Started (I'm Comin' Up)
02jdttpwvUBvKdzHkoL644,Walking Through Stray Lines - Nauseous and Reflective
02K5IV55wIgNNARk3UA95E,Paloma Negra: Miedo de Buscarte y Pensamientos de No Amar
02kdNcUqZRgXwQiYr92gZW,Feeling Heavy: The Thrill of Being On Fire
02lGHA7bFFplYLihnUWTx8,"Nunca Volver a Hablar, No Molestarte, Parece Bien, Pero No Es Cierto, Toma Tequ"
02LnwwnaanFpM5dZNArPBb,CoRo Ella Se Fue: Recuerdos de Lágrimas y Equivocaciones
02lvTeAFIIsOd0wVNoRkQ5,"Niña, No Necesito Tú"
02M6vucOvmRfMxTXDUwRXu,"Shoulders sideways, smack it, smack it in the air"
02MjAy2BTPTdqO19O5VtHO,Getting Away with Murder - Somewhere Beyond Happiness and Sadness
02mJtllR8CoskckLlrirNV,"Smile, Cause You Ain't Got Nothing to Worry About Anything at All"
02pf9lLM8Nb8l4u4ts1GWb,Mustard on the Beat: Riding with My Niggas
02PiwfcW4LuKxhDi3JfH01,Mama's Advice: Always Keep Your Head Up and Look Ahead
02q7qbOYbE89NMFEtOklcc,Front to the Back Beat Chant
02Qo5DFgoGTiBGo4ZUvjXm,"Mmm, Yeah, You Into My Life: Aligning Hearts and the Happiness of Soulmate"
02rbSCTm2smTIZ6d8im2NP,Follow Me Now Or Never - Chemical Party Foolin' with Your Body
02SUyCzxfqllXeEUqVNMVv,Neon Cold - Alone in Tokyo
02tvc9CFnTyHuSRlGeNv9w,How Could I Ignore You? Trust Me I Adore You - We're Swimming Through Our Dreams
02uRToy7bttYcKCO3vIStA,Jack's Jive & Pocketed Money: Downtown Night Out
02UYYPOGSBXxGEMce927XV,Nobody Loves You Like Me (Nobody)
02WVK9TPtjSOcmy9cDkd5D,Criminal Acts and Violence on the Stage: A Brat's Refusal to Act Their Age & Enraging Decent
02XnQdf7sipaKBBHixz3Zp,"Papa-Paparazzi: We're Plastic, But We Still Have Fun"
02Y5MRZD7AsElSRxsQtQzw,"Leavin' Home, On a Big Ol' Jet Airliner"
02Yq8TMuecXONAjkORNJNM,"Break My Bed, Wanna Stay: A Love-Filled Lament"
0363w3IUcO4cJMsAFLpfLY,A Night of Faith - Lalalalalalaland (Golden Gate)
036GQb6SETOJJG8BxJTNxc,"Chloe, You're the One I Want: A Confession of Passion"
037yW9RzsLze4OmBYmcH4G,DJ Save My Night - The Music Save My Soul & Beat Save My Life
038k4V2bjaAQsfpYV7V9WP,Walking on the Wire - In the Woods Where I Won't Be Found
03a359wbiUsjN9h6yzXvmS,She Don't Give a Fo-Fo - Khea & Duki Feat. Young Flex
03b1NUHnoavfpLLKcEMfIb,Young Jeezy's Club Life and the Art of Go Gettin'
03ejfFAbwrrANbH4fZzF0W,Alone Inside Your Head - Discussing a Forgotten Band
03GzYByXsXHcoEAxjsWv9G,Color Me Badd & Bootsy Collins: Slow Motion Love
03jdl5GTBhKsgB1Yw8mVPh,Life in the In Between - Woah-oah-oh-ohhhh-oh-oh Woah-oah-oh-oa
03LhreaNy6FWQxSxTX9u9H,"Remembering Every Move, Feeling Brand New King"
03nYlT73VrrZdiw3ZaTuti,"Tu Mirada, Complicidad y Bailar"
03PpdID0NKPVUrRtHybsE1,Cali's Contradictions: From Midtown to Malibu
03ShCBJrWXSp3vogMeCIxz,Heaven on Your Body - Three Ways to Make You Stay
03sno6MIkoVX5eC4pRKMzr,Stranger in the Fire - Feelin' and Feelin'
03SrVtN1UcstvinRAjrfff,Rhyme Slam: Moe Dee's Revenge on Sucker MCs
03taJRQ6nyzYWac6HDysMh,Jump Through Hoops To Get to You - Shapeless Divide
03teNQu8rWlFnNzF1ULXIq,"Starstruck: Every Girl, Every Boy - Papparazzi, Celebrity Lifestyle, and Hollywood Boulevard"
03tqyYWC9Um2ZqU0ZN849H,Roscoe Dash's Hip-Hop Anthem
03vri3F9DxZ5QVZ5LWsgn1,Echoes of the Dead of Night: Loneliness and Longing
03wOwEbTS3JR2Y2U0TxkFx,"Te Quiero Más, Desde Que Te Vi: Un Amor Celestial"
03WsrEB8eyCeUfvRxGP5JX,Straight West Coast Flava - Nuttin' Nyce 1994: Someone to Play With
03yOjwHoOPDlTUg0NRxN6t,A Dreaded Sunny Day - Meeting at the Cemetery Gates (Keats & Yeats vs. Wilde)
03yUFstSdQheHSdqQRWlmr,"Don't Wanna Be Without You - Living Without You, Living Without You"
03ZDwfZKhjHLqk9tIzd2KB,"7:02 - Breaking All the Rules: Dance the Boogie-Woogie, Fire Up the Booze"
03ZIYIkSXFEe8eKeG6qzE8,Life's Boredom and Nervousness: The Tale of a Boy's Struggle with Love and Identity
03zYFtluA21jFWQVPMbUYO,In My Righteous Own Mind: The Guilt and Misery of Being Drained
042wd4CrF4WTAwiKs0F7Ve,First World Problemz and Nobody Carez: A Reflection on Materialism and Disconnect
044fQJmT2fZUYcA3BnaOL2,"Baby, I Can't Wait - Unveiling the Secrets of True Love"
044qU7kwVZaDwzWnRsmVVL,Enamoured in Love's Rapture: A Romantic's High
045sp2JToyTaaKyXkGejPy,A Green Plastic Watering Can
047fCsbO4NdmwCBn8pcUXl,Fuck That Nigga (Are You Drunk Right Now?)
049NJ23pZOBKj9GNJUgd60,"My Love, My Drug, We're Fucked Up"
04aAxqtGp5pv12UXAg4pkq,"The Legends That Transform: Dust to Gold, Gold to Dust, But Remember Me Forever"
04b5l1WOlEonBLK2qTZrUV,Let Me Groove With You Momma - I Can't Take It Anymore
04BZvpVvpJKPWXVfnWr6a3,My Testimony: A New Start - Grateful for Your Faithfulness Like the Rising Sun
04EMkFMFkTaxWciZvxjkVT,"Bae-ae Rollin' Paper, Club Sport, Rock Life, Drug Life, Sad Boy, Lakers Peace, Lakers"
04g1aQFzaegB7ovWaMMIzz,Daily Stability: Breaking Free from Expectations
04Glred2wGdSNH11Qh4EDe,The Complexity of Love and Desire
04gQHzS8FLPoNdnRKw4jDJ,Frankly Scared of Clowns and Feeling Insane
04gYIUXKUVY2bZhawtyxD0,Never Surrender: Powermad's Stand Against the Foolish
04hFLMBiGOrTeuZBVnCGhh,Following the Northern Sky: A Celebration of Life and Devotion
04i2uLdBAfCSYjQzZqspDa,Khiladi Mere Jungli Hain - Voice of the Streets (Till They Put Me Beneath)
04JbHAAn3uqbfnx6ptFyaK,Lonely - Only One Heart Can Mend Another
04JmxH2IpgpIeZdbYswRq1,"Azzlack-Harami Hamad 45, Milonair - Ruhrpott Regieren: Nein, wir sind keine MC"
04KsMCb9PZE2S0AtUU8Jhb,March Winds and April Showers - Sweet May Flowers and June Romance
04KTF78FFg8sOHC1BADqbY,Hot in Herre
04MKRNwoX7TqQkA0ZrtMbC,Rappers Acting Out Due to Lack of Passion and Industry Rearrangement
04MLEeAMuV9IlHEsD8vF6A,Lost in the City
04MNKrAnzrHDUzuXAtNoLr,Live and Let Die
04o1cc3SZKXhAGFugDUHMx,Riding Down the Boulevard - Night with Empty Heart
04pjfS3YIK6gXjxi1zHeZa,Legends Never Die - When the World Calls Your Name
04Rz403IY7QUqgfrTWX6OU,Known for Sendin' Garbage MC's to the Graveyard
04sN26COy28wTXYj3dMoiZ,Aah Aah - Giving You What You Beg for
04so2YoeEkrKTfmgoYRmvw,Losing Time: Lying and Wasting Lives
04VArZKHm1xesMxqnsutDY,"Don't Wake Me, I'm Dreaming About You"
04xhIz4DiBGDECn7kIFodv,"The Heart's Perception of a Sick, Dark, Vice-filled, and Blurry World"
04XOESV0aVnKMlUU1NhIG1,Nevermore: A Song of Loss and Longing
04xWapbcBAgNWGHGdhcxoR,Who Gave You Permission to Rearrange Me - Certainly Not Me
04Z8OXrOr1dCPd741ucXLQ,"Want Me (Oh Woah), Don't You Want Me (Yeah)"
04ZTP5KsCypmtCmQg5tH9R,The Paradox of Self-Love Amidst Relationship Turmoil
050ud0e5cmIYjmXplDugVQ,Kash Doll Big Sean - Daytrip Takes It to Ten
05520pV0mf7miCgs08FB2f,"Rolling Without Competition, No Lottery Winner, Ask Permission, Whistle Out the Window, Not Your Property, Switch Up Your"
0561ZV0uaJYEOPTa5jCiqg,"Oh, Oh, Oh, Oh, Oh Oh, Oh, Oh - Passing Days, Changing Age, and Moving On"
056uvAVDFOa7kv9idKPpf0,I Get a Little Tongue Twisted - When I Close My Eyes I Still Can See Your Smile
058LC5qOG4VDaa4scqYc6v,Boyz II Men - Motownphilly's East Coast Swing
059bcIhyc2SBwm6sw2AZzd,TDHPiso 21 - Ovy On The Drums: No Sé Qué Tiene Tu Mirar
059seYDUmCUfv4KsB5Jc6H,"Calling You Up, Calling You Up - Keep Crawling to Your Arms"
05bXOQTUxou0BaZ6XteJo0,"Krantenwijk - Lil' Kleine ft. Boef Ik vouw papier, Kom niet zeggen dat jij"
05CwHjIk71RXVU40boRMnR,Two Kids with Their Hearts on Fire
05dL7chWJaVjMJnGO1YCKk,"Wondering in the Dark - We Rise and Fall, Untouchable"
05DOYX9MB5oUQbr6RPa6dH,Cocaína: El Bebé del Éxito y la Noche de Fumer y Beber
05hXrqBkWkAdl4kG0iNksE,"911, Bank Account Liftin' Weights, Highest Level Dealership"
05iMQqncVBIm4AE26EvaTL,Cuéntame si quisieras andar conmigo
05JdgtCKkZ5CoOjM5KS4EG,"Fresh DuzIt: The Hot Shit, Oppositions, and Gang Dynamics"
05KCB1XhTrdEASLYqbESny,Mack 10 & Tha Dogg Pound: West Coast Hits and the Pursuit of Wealth
05LCfd8s9n2teUcsTsBAnr,"K-K-Kato's Lyrical Journey: From Grudges to God, Navigating the Urban Jungle"
05LvE6ySn6hEcHdAJ7N19z,I'm Losing It
05mAIVLkIWc2d1UBYZBCp8,"Back to 1999: ""Hit Me, Baby, One More Time"
05MLzVoBzoe6LaBooK7Vsj,Blush Blush Blush Blush Blush Blush Blush Blush Blush Blush Blush
05mrU7mN3c1822bpY58UBC,Non Ci Sono Più Hotel - Ricordi della Stanza e della Faccia
05NYcsjJwOYq4jIiKPVj9p,Man on the Scene: Good Old Lovin' and More
05oETzWbd4SI33qK2gbJfR,Rhiannon Lyrics - Love and Longing
05oFyvdztPdpwSwpoclD4c,"If You Leave, Don't Leave Now - I Touch You Twice"
05P4BYqVauVxy0w9g6w2D9,Stand by (There's a Million Other People)
05Q5sFIYy6KC887fLw9p1y,They'll Give Us Something: Forgetting and Dealing with Memories
05qPqSapbaCzJAdX681R9A,"Siempre Me Haces Sentir Mejor, Siempre"
05R2lE5g9hnaSmxIrUl3C0,Mi Amor - Forever Stay
05RgAMGypEvqhNs5hPCbMS,Hot Shoe Burnin' Down the Avenue
05SBRd4fXgn8FX7bf8BCAE,"Unseen Love, Yearning for Your Embrace"
05Sgj1Hx03ZXc57gsV1kfX,"Yung Joc's ""Ghettoville U.S.A."
05SgVqTnF4qEMvKSGPeRSD,"Sub-Sub-Subwoofer Bass, Hamburger Rapper Melancholie, Capa Zeen's Schizophrenie"
05VHidqx1tV6V7MsCdAIby,"Lucifer, Son of the Morning - Chasing the Devil's Pie and Seeking Vengeance"
05vL56xSoxthM0r7IfcQjo,If I Ever Lose My Faith in You
05vpswcCkiXX2egk5GBo2y,"Space-Age Hustle: Ahh Yeah Mic Check 1, Eightball & MJG's Late Night Tales"
05xA64s3UzOOmAnh9SIIjn,Hope Your Flowers Bloom (Hope Your Flowers Bloom)
05xbEV5M8DAQmhFKKlHaDd,The Promise of Freedom
05zCWOpwIUf6JY06gSL6uz,"You're the Light, You're the Night: A Journey Through Love and Longing"
060AenZFpUKot40Pv0CJ0l,"Every Time I Look at You, I Go Blind"
062mh4qAZyDV9dIQK70iu0,Arrow Through My Heart: The Pain of Being Apart
064SVQsmWl5EF0zahmzkQk,Season of Love - Let Your Love Shine and Flow
068LmtzI6xJJDPfPnMje0U,Let It Happen (It's Gonna Feel So Good)
068XDWvE8tDnQsKo8J3x1Z,From Hot Dogs to Hustlers: The Journey of a Young Nigga
06b11p3gAvqqjOnku0CK9V,Another Lonely Night - I Want to Be in Love Again
06BrHnTVDOydsfg0LZ6mQb,Talk About Our Future: Seeking Clarity Before Getting Lost
06cX5CpHPVUYnEJ2UupXXp,"Popeye Dubai, Ice, Lean, Slatt, and Trap"
06dT0EYXrhRQV1MsvWhNGv,Porque Me Siente Tan Bien Ser Malo
06EL94D0TA27Ik0Ke5usbj,Back Into Time - Love's Infectious Feelings
06FhHrnpYCmIxIxIGUehxQ,Morena de grandes ojos - Echados al sol - Sin tu bañador
06H5AH5KtVWbAPNuOG8biW,No Te Quiero Perder: Distancia y Confianza en la Amistad
06Hdbxh6NCy6TIhjdXTchB,Chasing Headlights - City Life and Love
06HUJRcD0t95ogCb2pMQJF,Always Seeing Miracles: Something We Might Never See Again - Golden Years
06ILvvMXRF1iDNcmrdhSZb,Reflections of a 15-Year-Old: Chasing Rainbows and Struggling with Life's Challenges
06iMqWThw4w8fTFyccvOwr,Nelly's Lyrical Reflections
06KGsnrJI4Fd6V3rpSKDwi,"Smell the Fear, Look Like Hell, and Fuck Up Outta Here"
06ku5BBS2HufqSDVkcSR15,"Waltzers, Sixblade, Switchback, Torture Tattoo, Ghost Train, Screaming Ring, Neon,"
06KyNuuMOX1ROXRhj787tj,The Echoes of Lost Conversations
06luxtMuY4HXVpfWIK0rjw,"Подземный звук"" (Underground Sound)"
06mzeP9GQNSHWd1Nh2C5FM,Sleeping in the Motel 6: A Journey of Love and Longing
06nmhf5qFcn3qTB0anQkpJ,"Salsa Safari Party: Baila Pa Mi, Vete Conmigo, Fresco"
06o6dZ9ekqfEvQNRePKoZg,Feeling Used and Missing You
06oxeUYunH85rZkj0KXMDO,"Jamz' Cavalli To Modeller - ""Yeah, Ah-Ah"" - Farlig Skænkning"
06Pvy98db25O7wlfFFFIRM,Bon Bon Chocolat - You've Got to Want My Everything
06qKEP3ITnVPmH2ZW1zYvn,You Shot Me with a Shotgun - Yellow Claw
06u5LrUpbosQlQ1QJFhPpG,Warm Enough for You Inside and Outside
06UXtRLTF6kdMSM3uaVCCU,Seven Days Holiday Memories
06vSnlO8lrC5o69qz9fW9f,Bend and Make Your Booty Loose
06WD650Zt5MQ55kFMP2f3r,Street Snapshots & Hip-Hop Highs: The Third Degree Fire
06WohfoFEUa5faNy8f9S5N,Adrenalize Me - Addiction to Excess (Music Love and Sex)
06yHcjr58IKJnfEK7ko3sD,Poison: A Warning of Love's Deadly Deception
06YVA5Ajbk0Kv4ddFSEuBM,"Girl, You Really Got Me Now"
06Z7Hy2LUzbcSFmWzwkun1,Two Hearts on a Cold Street
06ZIzHhJFWf0mDyEylIPf0,"Lost in Motions: Teardrops, Crisis, and the Peachy Keen Dream"
06ZQwfPghgSJ2L6bXQUxO9,Will I Survive Another Day? Breaking Up on the Front Lines
072GuDuz8KUCpTOx1fDTTt,She's Been Calling Out My Name - Young Girl from Aruba
073ILU1C3APNRGF66VhtyA,You're Making Me a Liar: The Fire Within
0745pNOxmaa0hAdq5xvrMT,Sometimes Don't Wanna Fall in Love - Sick of Lies
074v54tSEWLbq3Hu5wf6uh,Don't Get Down: The World Loves the Sound
075NNuZU6IxC7Us3L7ylep,"069 Main Park Mafia Showcase: Guardia Civil, German Rap, and the Offenbach Offense"
076jREnPu9sinABTfdw9Xi,Jam Session Jive
079lsExLsjditCh8XyUn0L,"The Best Rapper Alive: Swagger, Respect, and Unapologetic Confidence"
07ABETRdek3ACMpRPvQuaT,"Reflecting Regret and Redemption: ""You Were Always on My Mind"
07Agqdd4SD83JRgN19OjdW,"2019 WWA - Skepta, URS - Bubblegum Różowe Magenta"
07ANB9prOyNTWnMbDGNzdW,Some Folks: Inheriting the Flag and the Fortune
07bBCZ2bNs5gVlm4e7tJQ1,Desperte Con Ganas De Sonreírle A La Vida: Chillax In The Life
07CQ0ux2CwbaVN05sfG1zN,Kiss Me with Your Eyes Open - Ollie Ollie Oxen Free
07CyrZF9eVd02zzIse7tZA,"Yesterday, I Got So Old, I Wanted To Die"
07e2UjDMuFZyOiu8Xo3CwX,Unleashing Desires: A Dance of Seduction and Passion
07eET3PAzpSz5CLE4wGgN5,Inocente Culpable: Montana y el Engaño de la Gente
07efOAoPwcRdd4W6gi8BRF,"Tick Tock, No Stopping: A Tale of Love and Longing"
07F7zczrjCccG67nrFl3ai,Carrying Your Heart in My Hands - A Million Years Waiting
07fqonJcksfEG2Fav9SDA2,Comprehending My Emotions: Uncertainty and Longing in Love
07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - Loving You Isn't the Right Thing to Do
07HPV6hzecJmMJwsIX8YVU,Guitar Cutie's Special Something
07idyjb93qYavu1s29HtBi,Sent Him on His Way - A Drop in the Ocean
07iEoapGlHKFWWdM2YRsiy,The Second-Brightest Star: Memories of England's Hedgerows and Misty Night Skies
07ipXN6CNTw34qwSYePKpg,Time Spent with You: A Love Song Without Money
07jFllpAwipdNXstXHFtHk,"Searching for You - Chasing Love, Second Chances, and Uncertainty"
07K9jPEoVsqoEopODxiAUs,Living in Oblivion: The Pain of Unseen Suffering
07KHJvlYBeQVqrmifTEqEp,Mirrored Lines: Reflecting on Life's Dusk to Dawn
07KXEDMj78x68D884wgVEm,"Mustard on the Beat - Goyard, G-Wagen, Rover, Ho Shawty, Prada Bae"
07L6tEZIfCX3GZAWCpGj0e,"De Tú, De Ti, De Ti - No Me Volveré Enamorar"
07lqfibBtpw1ud24u0uULj,"Keep Watch, Lame Niggas, Run the Streets: A B-Boy's D-Boy Anthem"
07nH4ifBxUB4lZcsf44Brn,Blame It on the Night
07OKKRUAmBaJDf8YGF1PD5,Set Your Soul on Fire - Feel the Burn
07Oz5StQ7GRoygNLaXs2pd,"Hair Toss, Nails, and Feelin' Good"
07OzC5JlcaDwEkzWmvqp6y,Nasty Boys' Groove
07pBDImHZhH5XW6xz9Wob6,Bearded Protestant Rockers and the Good Book
07plBjARJU1Itic3kQuV4Z,Candela y Pleito: Cypress Hill y el Machete en la Calle Peligrosa
07q0QVgO56EorrSGHC48y3,Tonight I Wanna Give It All to You
07s9NNOT0sZQp7TyolLLgu,Own It Girl's Fire Control and Higher
07TaUxan2koUnBPPzrtU04,Emergency Paging Dr. Beat: The Uncontrollable Beat and the Desperate Plea for Help
07tOsOR7E9zW89v2FqzsdG,Never Out Late: The Busy Earning Life
07trtA9L3paByfzsIf6pZH,"More Body, More Soul - Flip the Switch to Automatic - I Want Control"
07Tx168RSsUS1HqkDIOZbH,Lil' Wayne - Throw Some D's
07VwdDnNr05uJGgpM1IG40,"Ice, Ice, Ice Ice Ice, Ice"
07yM5vxBxAIXWzNqu1BnF6,"Cuando teníamos sexo, oh-oh"
07zL0LP8Xt2CCM8MXA5PJh,"Lil Mama - ""Coupe Top Off, Rolling to the Store"
07zV7KJhD507OPDD0NUuj2,The Unfair Reality of Loneliness and Self-Indulgence
0832Tptls5YicHPGgw7ssP,Never Your Beast of Burden
084ILpH20VSBeamcU7mM4K,Drowning in Memories: A Lament of Lost Love and Oceanic Reflections
085JBuPwP0YbPgc2t6Lscc,"Breaking the Silence, No More Backing Down"
085XpQzAKm4nAfcfRp2get,"Government Man Downstream - Wading in Water, Dreaming for Freedom"
086myS9r57YsLbJpU0TgK9,Mirror's Reflection - Home Time and Missed Connections
0871vn05d33xTvZllwVWKq,"Zero Dark Thirty - Sass Cafe: Bitches in Line, Gold Diggers, and Money Players"
087B7ONFOiKkkMVmg83md0,"Still I'm With You (You're a Winner, But You Never Talk)"
087zhxfoAGzPjlaGJz2CuR,"Million Lonely People: Daring Love, Cry, Run, Try, Fall, Feel, Be Here Now"
088eGKZm5dgDxFauCEwOqp,Gone with the Wind - Tangled Hair and Faceless Dreams
08bNPGLD8AhKpnnERrAc6G,Friday Night Lights
08Ed6CXK8Ibk5XvLgm8g4q,"Am I Losing Yet? - Never Late, Never Regrets, Never Needing a Savior"
08IIDDeGMsbKnkSHTVX9Cj,Bobby Brown & Suga Rush - A Slow-Motion Love Affair
